Provider Number,Facility Name,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,SWR category text,PPPW category text
142867,DAVITA MELROSE PARK DIALYSIS,Profit,INDEPENDENT,12,Not Available,0,0,,0,,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,0,0,,0,,Not Available,Not Available
152500,FMC - INDIANAPOLIS,Profit,FRESENIUS MEDICAL CARE,48,As Expected,127,163,1517,172,1591,As Expected,As Expected,As Expected,143,167,604,As Expected,As Expected,146,146,1329,0,,As Expected,As Expected
152501,FMC - GARY DIALYSIS,Profit,FRESENIUS MEDICAL CARE,24,As Expected,110,158,1478,161,1480,As Expected,As Expected,Better than Expected,121,161,511,As Expected,As Expected,126,126,1138,0,,As Expected,As Expected
152502,FMC - INDIANAPOLIS-EAST,Profit,FRESENIUS MEDICAL CARE,36,As Expected,163,210,2016,225,2119,As Expected,As Expected,As Expected,182,238,703,Better than Expected,Worse than Expected,222,222,2097,0,,Worse than Expected,As Expected
152617,US RENAL CARE KOKOMO DIALYSIS,Profit,"US RENAL CARE, INC.",15,As Expected,39,51,446,55,453,As Expected,As Expected,As Expected,43,45,153,Better than Expected,As Expected,51,51,419,0,,Not Available,As Expected
142792,HOME DIALYSIS SERVICES ROCKFORD LLC,Profit,INDEPENDENT,0,As Expected,24,31,249,34,246,As Expected,As Expected,As Expected,25,33,60,Not Available,Not Available,8,8,44,0,,Not Available,As Expected
142793,DAVITA CHICAGO RIDGE DIALYSIS,Profit,DAVITA,16,As Expected,45,76,588,82,632,As Expected,As Expected,As Expected,61,69,198,As Expected,As Expected,71,71,517,0,,As Expected,As Expected
142794,MEDICAL DISTRICT HOME DIALYSIS LLC,Profit,INDEPENDENT,0,As Expected,24,40,364,40,212,As Expected,As Expected,As Expected,27,17,83,Not Available,Not Available,0,0,,0,,As Expected,As Expected
142795,DAVITA BELVIDERE DIALYSIS,Profit,DAVITA,12,As Expected,27,36,326,38,337,As Expected,As Expected,As Expected,28,26,111,As Expected,As Expected,40,40,342,0,,Not Available,As Expected
142796,RENAL CARE PROVIDERS LLC,Profit,INDEPENDENT,0,Not Available,21,47,345,49,354,As Expected,As Expected,As Expected,22,26,89,Not Available,Worse than Expected,20,20,90,0,,As Expected,As Expected
142797,NOCTURNAL DIALYSIS SPA,Profit,INDEPENDENT,13,Not Available,8,10,88,9,83,As Expected,As Expected,Not Available,10,16,21,Not Available,Not Available,9,9,88,0,,Not Available,Not Available
142514,FMC - CARBONDALE,Profit,FRESENIUS MEDICAL CARE,22,As Expected,86,133,1113,140,1187,As Expected,As Expected,As Expected,111,151,432,As Expected,As Expected,119,119,996,0,,As Expected,As Expected
142515,FMC - AURORA DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,24,As Expected,103,168,1602,170,1610,As Expected,As Expected,Better than Expected,126,122,512,As Expected,As Expected,142,142,1317,0,,As Expected,As Expected
142516,FMC - JACKSON PARK DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,24,As Expected,56,106,999,107,1004,Worse than Expected,As Expected,As Expected,65,89,306,As Expected,As Expected,108,108,1014,0,,As Expected,As Expected
142620,DAVITA RUSHVILLE DIALYSIS,Profit,DAVITA,8,As Expected,15,22,198,24,209,As Expected,As Expected,As Expected,21,15,78,As Expected,As Expected,24,24,205,0,,Not Available,As Expected
142621,FMC - MIDAMERICA EVANSTON,Profit,FRESENIUS MEDICAL CARE,14,As Expected,37,67,535,71,564,As Expected,As Expected,As Expected,58,60,257,As Expected,As Expected,69,69,556,0,,As Expected,As Expected
152694,DAVITA FALL CREEK,Profit,DAVITA,20,Not Available,13,28,191,32,213,As Expected,As Expected,Not Available,15,11,16,As Expected,As Expected,32,32,221,0,,Not Available,As Expected
152695,BIO-MEDICAL APPLICATIONS OF INDIANA,Profit,FRESENIUS MEDICAL CARE,17,Not Available,11,19,87,21,104,Not Available,As Expected,Not Available,13,16,14,Not Available,As Expected,21,21,107,0,,Not Available,As Expected
152696,FMC-INDIANAPOLIS NORTHEAST,Non-Profit,FRESENIUS MEDICAL CARE,13,As Expected,33,63,475,72,524,As Expected,As Expected,As Expected,42,42,42,As Expected,As Expected,73,73,529,0,,Not Available,As Expected
152697,THE DIALYSIS CENTER OF GARY LLC,Profit,AMERICAN RENAL ASSOCIATES,21,As Expected,37,68,474,76,528,As Expected,As Expected,As Expected,46,74,46,As Expected,As Expected,71,71,503,0,,Not Available,As Expected
152698,DAVITA WHITING DIALYSIS,Profit,DAVITA,9,Not Available,8,13,76,15,83,Not Available,As Expected,Not Available,12,12,12,Not Available,As Expected,14,14,80,0,,Not Available,Worse than Expected
142745,HOME DIALYSIS SERVICES LLC,Profit,INDEPENDENT,0,As Expected,33,48,442,50,448,As Expected,As Expected,As Expected,34,40,136,Not Available,Not Available,9,9,69,0,,As Expected,As Expected
152618,FMC - GREENCASTLE,Profit,FRESENIUS MEDICAL CARE,13,As Expected,20,32,303,34,319,As Expected,As Expected,As Expected,26,40,125,As Expected,As Expected,34,34,300,0,,Not Available,As Expected
152619,DAVITA CORYDON DIALYSIS CENTER,Profit,DAVITA,12,As Expected,23,34,298,35,318,As Expected,As Expected,As Expected,28,25,116,As Expected,As Expected,34,34,310,0,,Not Available,As Expected
152620,DAVITA CARMEL DIALYSIS,Profit,DAVITA,12,As Expected,46,74,640,82,663,As Expected,As Expected,As Expected,65,80,211,As Expected,As Expected,70,70,558,0,,As Expected,As Expected
152621,FMC - FRANKLIN,Profit,FRESENIUS MEDICAL CARE,12,As Expected,19,21,198,26,202,As Expected,As Expected,As Expected,24,29,79,As Expected,As Expected,28,28,213,0,,Not Available,As Expected
152622,FMC - CORYDON,Profit,FRESENIUS MEDICAL CARE,12,As Expected,37,52,464,55,496,As Expected,As Expected,As Expected,41,40,176,As Expected,As Expected,55,55,495,0,,Not Available,As Expected
152527,DAVITA COMPREHENSIVE RENAL CARE - VALPARAISO,Profit,DAVITA,22,Not Available,25,32,225,35,239,As Expected,As Expected,As Expected,34,25,167,As Expected,As Expected,29,29,191,0,,Not Available,As Expected
152530,FMC - NEPHROLOGY - ELKHART,Profit,FRESENIUS MEDICAL CARE,24,As Expected,95,129,1169,132,1176,As Expected,As Expected,As Expected,106,114,425,As Expected,As Expected,133,133,1180,0,,Worse than Expected,As Expected
152531,FMC - INDIANAPOLIS-WEST,Profit,FRESENIUS MEDICAL CARE,18,As Expected,45,52,450,57,479,As Expected,As Expected,As Expected,49,36,203,As Expected,As Expected,59,59,482,0,,Not Available,As Expected
152532,BIOMEDICAL APPLICATION OF INDIANA,Profit,FRESENIUS MEDICAL CARE,4,As Expected,32,39,361,38,347,As Expected,As Expected,As Expected,36,29,231,Not Available,Not Available,7,7,54,0,,Not Available,As Expected
152534,FMC - INDIANAPOLIS-SOUTH,Profit,FRESENIUS MEDICAL CARE,16,As Expected,36,54,460,61,476,As Expected,As Expected,As Expected,46,38,175,As Expected,As Expected,61,61,491,0,,As Expected,As Expected
142622,DAVITA HAZEL CREST RENAL CENTER,Profit,DAVITA,17,As Expected,59,92,617,95,628,As Expected,As Expected,As Expected,82,71,358,As Expected,As Expected,95,95,625,0,,As Expected,As Expected
142624,DIALYZE DIRECT IL - SHELBYVILLE,Profit,INDEPENDENT,9,As Expected,36,48,289,51,250,As Expected,As Expected,As Expected,44,48,166,As Expected,As Expected,50,50,297,0,,Not Available,As Expected
142625,"DANVILLE DIALYSIS SERVICES, LLC",Profit,INDEPENDENT,19,As Expected,80,107,997,112,970,As Expected,As Expected,As Expected,89,164,352,As Expected,As Expected,102,102,953,0,,As Expected,As Expected
142626,DAVITA ARLINGTON HEIGHTS PD,Profit,DAVITA,0,Not Available,2,5,37,5,34,Not Available,Not Available,Not Available,3,4,18,Not Available,Not Available,0,0,,0,,Not Available,Not Available
142727,FMC - WAUKEGAN HARBOR,Profit,FRESENIUS MEDICAL CARE,21,As Expected,74,113,1068,113,1068,As Expected,As Expected,Better than Expected,84,60,381,Better than Expected,As Expected,105,105,956,0,,As Expected,As Expected
142746,DAVITA GLEN DIALYSIS,Non-Profit,INDEPENDENT,16,As Expected,51,69,552,71,553,As Expected,As Expected,Better than Expected,63,56,260,Better than Expected,As Expected,73,73,568,0,,As Expected,As Expected
142747,DAVITA DRIFTWOOD DIALYSIS,Profit,DAVITA,12,As Expected,36,55,460,57,462,As Expected,As Expected,As Expected,41,38,191,As Expected,As Expected,53,53,443,0,,Not Available,As Expected
142748,DAVITA CRIMSON RIDGE HOME TRAINING (PD),Profit,DAVITA,0,As Expected,17,23,181,24,181,As Expected,As Expected,As Expected,18,12,65,Not Available,Not Available,6,6,42,0,,Not Available,As Expected
142749,USRC - BOLINGBROOK,Profit,"US RENAL CARE, INC.",13,As Expected,54,74,703,86,730,As Expected,As Expected,As Expected,66,75,264,As Expected,As Expected,76,76,623,0,,Not Available,As Expected
142750,"USRC - OAKBROOK, LLC",Profit,"US RENAL CARE, INC.",13,As Expected,43,62,487,69,495,As Expected,As Expected,As Expected,58,72,242,Better than Expected,As Expected,70,70,510,0,,Not Available,As Expected
162511,TRI- STATE DIALYSIS - MANCHESTER,Profit,INDEPENDENT,12,As Expected,24,29,248,30,255,As Expected,As Expected,As Expected,25,20,88,Not Available,As Expected,31,31,259,0,,Not Available,As Expected
162512,"SOUTHEASTERN RENAL DIALYSIS, LC - W BURLINGTON",Profit,INDEPENDENT,12,As Expected,56,83,743,78,723,As Expected,As Expected,As Expected,69,97,273,As Expected,As Expected,80,80,718,0,,As Expected,As Expected
162514,DAVITA CRESTON DIALYSIS,Profit,DAVITA,8,As Expected,21,28,228,31,252,As Expected,As Expected,As Expected,27,18,111,As Expected,As Expected,31,31,252,0,,Not Available,As Expected
162515,SIOUXLAND DIALYSIS,Profit,FRESENIUS MEDICAL CARE,24,As Expected,85,119,1007,122,1049,As Expected,As Expected,As Expected,94,134,449,Better than Expected,As Expected,124,124,1054,0,,As Expected,As Expected
162516,DAVITA CEDAR VALLEY DIALYSIS,Profit,DAVITA,24,As Expected,102,152,1299,165,1428,As Expected,As Expected,As Expected,124,140,506,As Expected,As Expected,132,132,1134,0,,As Expected,As Expected
162517,"SOUTHEASTERN RENAL DIALYSIS, L.C. - LEE COUNTY",Profit,INDEPENDENT,10,As Expected,24,31,292,30,297,As Expected,As Expected,As Expected,26,18,104,As Expected,As Expected,31,31,298,0,,Not Available,As Expected
152535,FMC - NEPHROLOGY - LA PORTE,Profit,FRESENIUS MEDICAL CARE,12,Not Available,13,18,171,19,172,As Expected,As Expected,As Expected,18,17,70,As Expected,As Expected,19,19,172,0,,Not Available,As Expected
152643,FMC -  NEPHROLOGY - GOSHEN,Profit,FRESENIUS MEDICAL CARE,25,As Expected,42,67,629,66,639,As Expected,As Expected,As Expected,49,40,197,As Expected,As Expected,66,66,643,0,,As Expected,As Expected
152644,DAVITA NEWBURGH DIALYSIS,Profit,DAVITA,16,As Expected,58,78,623,82,682,As Expected,As Expected,Better than Expected,67,96,235,As Expected,As Expected,81,81,677,0,,Not Available,As Expected
152645,DAVITA AVON DIALYSIS,Profit,DAVITA,16,As Expected,60,83,783,85,801,As Expected,As Expected,As Expected,72,67,266,As Expected,As Expected,68,68,659,0,,As Expected,As Expected
152646,DAVITA SCOTTSBURG DIALYSIS,Profit,DAVITA,8,As Expected,19,32,265,32,277,As Expected,As Expected,As Expected,27,41,118,As Expected,As Expected,32,32,258,0,,Not Available,As Expected
152647,DAVITA FORT WAYNE SOUTH,Profit,DAVITA,20,As Expected,85,112,1044,121,1084,As Expected,As Expected,As Expected,94,136,417,Better than Expected,As Expected,119,119,1074,0,,Worse than Expected,Worse than Expected
142728,DAVITA GRAND CROSSING DIALYSIS,Profit,DAVITA,12,As Expected,51,87,656,87,660,As Expected,As Expected,As Expected,62,81,229,As Expected,As Expected,89,89,685,0,,As Expected,As Expected
142729,FMC - WEST BATAVIA,Profit,FRESENIUS MEDICAL CARE,12,As Expected,36,77,677,82,718,As Expected,As Expected,As Expected,48,30,189,As Expected,As Expected,67,67,561,0,,As Expected,As Expected
142730,FMC - WEST WILLOW,Profit,FRESENIUS MEDICAL CARE,12,As Expected,32,43,403,44,403,As Expected,Worse than Expected,Better than Expected,35,58,142,As Expected,As Expected,44,44,401,0,,Not Available,As Expected
142731,FMC - MUNDELEIN,Profit,FRESENIUS MEDICAL CARE,14,As Expected,46,76,667,79,687,As Expected,As Expected,Better than Expected,61,53,236,As Expected,As Expected,78,78,692,0,,Not Available,As Expected
142732,DAVITA PALOS PARK DIALYSIS,Profit,DAVITA,12,As Expected,37,56,443,62,472,As Expected,As Expected,As Expected,51,52,231,Better than Expected,As Expected,61,61,476,0,,Not Available,As Expected
112883,DAVITA NEWTON COUNTY DIALYSIS,Profit,DAVITA,12,As Expected,69,99,883,102,908,As Expected,As Expected,As Expected,78,78,240,Better than Expected,As Expected,89,89,757,0,,Not Available,As Expected
142846,FKC - BLOOMINGTON HOME,Profit,FRESENIUS MEDICAL CARE,0,Not Available,5,5,24,5,24,Not Available,Not Available,Not Available,6,5,7,Not Available,Not Available,0,0,,0,,Not Available,Not Available
142847,DAVITA EDGEMONT DIALYSIS,Profit,DAVITA,12,Not Available,13,26,152,27,156,As Expected,As Expected,Not Available,17,23,17,As Expected,As Expected,27,27,164,0,,Not Available,As Expected
142848,DIALYSIS CARE CENTER-BEVERLY,Profit,INDEPENDENT,14,Not Available,22,57,271,63,324,As Expected,As Expected,As Expected,27,41,27,Not Available,As Expected,64,64,341,0,,Not Available,As Expected
142849,DAVITA DOWNERS GROVE HOME TRAINING,Profit,INDEPENDENT,0,Not Available,3,4,14,4,21,Not Available,Not Available,Not Available,3,2,3,Not Available,Not Available,0,0,,0,,Not Available,Not Available
142850,DAVITA KANKAKEE RIVER DIALYSIS,Non-Profit,INDEPENDENT,24,As Expected,80,120,1046,122,1020,As Expected,As Expected,Better than Expected,88,116,228,Better than Expected,As Expected,99,99,843,0,,Not Available,As Expected
142851,DAVITA NORWOOD PARK DIALYSIS,Profit,DAVITA,14,Not Available,16,23,173,27,189,As Expected,As Expected,As Expected,20,11,46,As Expected,As Expected,28,28,194,0,,Not Available,As Expected
142769,HOME DIALYSIS SERVICES OLYMPIA FIELDS LLC,Profit,INDEPENDENT,1,Not Available,22,56,409,56,434,As Expected,As Expected,As Expected,28,32,107,Not Available,As Expected,16,16,105,0,,As Expected,As Expected
142770,NORTHWESTERN MEDICAL FACILITY FOUNDATION DIALYSIS CENTER,Profit,"US RENAL CARE, INC.",0,As Expected,63,112,970,121,997,As Expected,As Expected,As Expected,77,78,317,Not Available,Not Available,7,7,32,0,,As Expected,As Expected
142772,DAVITA RED BUD DIALYSIS,Profit,DAVITA,8,Not Available,19,27,192,29,198,As Expected,As Expected,As Expected,19,40,78,As Expected,As Expected,27,27,177,0,,Not Available,As Expected
142773,AFFILIATED DIALYSIS OF JOLIET,Profit,INDEPENDENT,1,Not Available,5,11,83,12,70,Not Available,Not Available,As Expected,7,7,36,Not Available,As Expected,12,12,86,0,,Not Available,Not Available
142774,FMC - DES PLAINES,Profit,FRESENIUS MEDICAL CARE,13,As Expected,38,67,588,69,607,As Expected,As Expected,As Expected,49,35,178,Better than Expected,As Expected,68,68,596,0,,As Expected,As Expected
152648,DAVITA FORT WAYNE WEST DIALYSIS,Profit,DAVITA,14,As Expected,47,72,687,81,712,As Expected,As Expected,Worse than Expected,52,84,281,As Expected,As Expected,75,75,670,0,,As Expected,As Expected
142602,FMC - NORTH AVENUE DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,21,As Expected,81,127,1132,128,1127,As Expected,As Expected,As Expected,100,87,423,Better than Expected,Better than Expected,129,129,1146,0,,Not Available,As Expected
142603,FMC - DIALYSIS CENTERS OF AMERICA-ILLINOIS,Profit,FRESENIUS MEDICAL CARE,14,As Expected,37,57,504,62,538,As Expected,As Expected,As Expected,53,66,229,As Expected,As Expected,58,58,523,0,,Not Available,Worse than Expected
142604,DAVITA TRC CHILDREN'S DIALYSIS CENTER,Profit,DAVITA,8,Not Available,2,2,19,3,20,As Expected,As Expected,Not Available,11,15,57,As Expected,Not Available,2,2,4,17,119,Better than Expected,Better than Expected
142605,FMC - BOLINGBROOK DIALYSIS,Profit,FRESENIUS MEDICAL CARE,24,As Expected,88,130,1159,130,1166,As Expected,As Expected,Better than Expected,105,96,443,Better than Expected,As Expected,125,125,1094,0,,As Expected,As Expected
112884,"EMORY DIALYSIS, LLC",Non-Profit,EMORY DIALYSIS LLC,1,Not Available,7,13,76,12,67,Not Available,Not Available,Not Available,8,8,28,Not Available,Not Available,0,0,,0,,Not Available,As Expected
112885,DAVITA SUMTER COUNTY DIALYSIS,Profit,DAVITA,12,As Expected,33,48,441,49,451,As Expected,As Expected,As Expected,36,25,124,As Expected,As Expected,49,49,455,0,,Not Available,As Expected
112886,"ATHENS RENAL CENTER, LLC",Profit,AMERICAN RENAL ASSOCIATES,17,As Expected,64,85,796,90,834,As Expected,As Expected,Worse than Expected,81,85,298,As Expected,As Expected,77,77,708,0,,As Expected,As Expected
112887,"GEORGIA KIDNEY INSTITUTE, LLC",Profit,INDEPENDENT,11,As Expected,37,56,457,54,439,Worse than Expected,As Expected,As Expected,45,75,168,As Expected,As Expected,30,30,272,0,,As Expected,As Expected
112888,"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",Profit,FRESENIUS MEDICAL CARE,15,As Expected,32,45,329,55,365,As Expected,As Expected,As Expected,39,53,128,As Expected,As Expected,53,53,369,0,,Not Available,As Expected
152597,DAVITA LAFAYETTE HOME DIALYSIS,Profit,DAVITA,4,As Expected,39,56,443,61,455,As Expected,As Expected,As Expected,47,34,208,Not Available,As Expected,20,20,178,0,,As Expected,As Expected
152598,FMC - LIBERTY DIALYSIS - CRAWFORDSVILLE,Profit,FRESENIUS MEDICAL CARE,10,As Expected,47,64,567,66,610,As Expected,As Expected,As Expected,56,76,209,Better than Expected,Better than Expected,66,66,613,0,,Not Available,As Expected
152599,DSI - DIALYSIS - LA PORTE,Profit,"US RENAL CARE, INC.",13,Worse than Expected,39,53,480,54,505,As Expected,As Expected,As Expected,45,50,245,As Expected,Better than Expected,50,50,420,0,,As Expected,As Expected
152601,FMC - LIBERTY DIALYSIS - LAFAYETTE II,Profit,FRESENIUS MEDICAL CARE,32,As Expected,111,159,1323,174,1416,As Expected,As Expected,As Expected,144,193,538,Better than Expected,As Expected,155,155,1274,0,,As Expected,As Expected
152602,FMC - LIBERTY DIALYSIS - MONTICELLO,Profit,FRESENIUS MEDICAL CARE,12,As Expected,27,41,315,43,324,As Expected,As Expected,As Expected,35,43,142,As Expected,As Expected,44,44,315,0,,Not Available,Worse than Expected
152603,DAVITA FRANKLIN (IN) AT HOME,Profit,DAVITA,14,As Expected,17,32,312,35,327,Better than Expected,As Expected,As Expected,26,16,135,As Expected,As Expected,35,35,320,0,,Not Available,As Expected
142775,DAVITA FLOSSMORE HOME DIALYSIS,Profit,DAVITA,4,As Expected,43,60,515,61,536,As Expected,As Expected,As Expected,47,31,153,Not Available,Not Available,4,4,37,0,,As Expected,Better than Expected
152503,FMC - OHIO VALLEY DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,18,As Expected,49,64,588,66,606,As Expected,As Expected,As Expected,53,85,241,Better than Expected,As Expected,47,47,444,0,,Not Available,As Expected
152504,FMC - SOUTHERN INDIANA,Profit,FRESENIUS MEDICAL CARE,26,As Expected,102,142,1304,152,1348,As Expected,As Expected,As Expected,123,125,492,Better than Expected,As Expected,132,132,1162,0,,As Expected,As Expected
152507,DAVITA BATESVILLE DIALYSIS,Profit,DAVITA,12,As Expected,23,35,288,37,295,As Expected,As Expected,As Expected,26,15,135,As Expected,As Expected,37,37,286,0,,Not Available,As Expected
152509,FMC - RICHMOND,Profit,FRESENIUS MEDICAL CARE,24,As Expected,121,164,1603,172,1683,As Expected,As Expected,As Expected,154,166,631,Better than Expected,As Expected,142,142,1350,0,,As Expected,As Expected
152510,FMC - DIALYSIS INSTITUTE OF ANDERSON,Profit,FRESENIUS MEDICAL CARE,24,As Expected,107,146,1363,154,1422,As Expected,Better than Expected,As Expected,125,117,558,As Expected,As Expected,136,136,1222,0,,As Expected,As Expected
142606,FMC - DUPAGE PERITONEAL DIALYSIS SERVICES,Profit,FRESENIUS MEDICAL CARE,0,Not Available,11,19,154,20,171,As Expected,As Expected,As Expected,13,16,52,Not Available,Not Available,0,0,,0,,Not Available,As Expected
142607,"FRESENIUS MEDICAL CARE CHICAGOLAND, LLC",Profit,FRESENIUS MEDICAL CARE,16,As Expected,57,80,764,80,755,As Expected,As Expected,Better than Expected,72,63,305,Better than Expected,As Expected,83,83,774,0,,As Expected,As Expected
142709,YORKVILLE DIALYSIS CENTER LLC,Profit,INDEPENDENT,8,As Expected,27,33,313,37,322,As Expected,As Expected,As Expected,28,40,115,As Expected,As Expected,29,29,247,0,,Not Available,As Expected
142710,FMC - DEERFIELD DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,12,As Expected,26,37,326,41,354,As Expected,As Expected,As Expected,34,26,127,As Expected,As Expected,41,41,355,0,,Not Available,As Expected
142711,DAVITA ADAMS COUNTY DIALYSIS,Profit,DAVITA,19,As Expected,82,110,956,119,1014,As Expected,As Expected,As Expected,101,145,344,As Expected,As Expected,100,100,812,0,,As Expected,As Expected
142517,FMC - SOUTH SUBURBAN,Profit,FRESENIUS MEDICAL CARE,27,As Expected,100,139,1261,140,1277,As Expected,As Expected,As Expected,116,129,507,Better than Expected,As Expected,131,131,1210,0,,As Expected,As Expected
142518,USRC - SCOTTSDALE DIALYSIS,Profit,"US RENAL CARE, INC.",32,As Expected,80,144,1389,142,1360,As Expected,As Expected,As Expected,104,158,498,As Expected,Worse than Expected,129,129,1285,0,,As Expected,As Expected
142519,FMC - SOUTH CHICAGO,Profit,FRESENIUS MEDICAL CARE,36,As Expected,125,190,1831,196,1878,As Expected,As Expected,As Expected,146,132,670,As Expected,As Expected,195,195,1873,0,,As Expected,As Expected
142520,FMC - WESTCHESTER,Profit,FRESENIUS MEDICAL CARE,22,As Expected,60,92,846,92,850,As Expected,As Expected,Better than Expected,71,60,313,As Expected,As Expected,94,94,865,0,,As Expected,As Expected
142521,FMC - NORRIDGE,Profit,FRESENIUS MEDICAL CARE,16,As Expected,52,79,736,88,771,As Expected,Better than Expected,Better than Expected,68,88,279,Better than Expected,As Expected,87,87,782,0,,As Expected,As Expected
142522,FMC - ROGERS PARK,Profit,FRESENIUS MEDICAL CARE,20,As Expected,60,97,910,98,917,As Expected,As Expected,Better than Expected,72,75,276,Better than Expected,As Expected,99,99,928,0,,As Expected,As Expected
152699,VALPARAISO DIALYSIS,Profit,AMERICAN RENAL ASSOCIATES,12,Not Available,15,33,209,38,252,As Expected,As Expected,As Expected,28,38,28,As Expected,As Expected,30,30,185,0,,Not Available,As Expected
152700,DAVITA SPEEDWAY DIALYSIS,Profit,DAVITA,13,Not Available,4,14,70,16,82,Not Available,Not Available,Not Available,5,5,5,Not Available,As Expected,15,15,79,0,,Not Available,As Expected
152701,"DIALYZE DIRECT IN, LLC",Profit,NRAA,1,Not Available,3,9,22,0,0,Not Available,Not Available,Not Available,6,2,6,Not Available,Not Available,10,10,25,0,,Not Available,Not Available
152702,"USRC MHP, LLC",Profit,"US RENAL CARE, INC.",13,Not Available,17,22,62,27,63,Not Available,Not Available,Not Available,20,4,20,Not Available,As Expected,26,26,72,0,,Not Available,As Expected
152703,FRESENIUS KIDNEY CARE NORTH ELKHART,Profit,FRESENIUS MEDICAL CARE,13,Not Available,1,9,12,8,8,Not Available,Not Available,Not Available,1,1,1,Not Available,Not Available,9,9,13,0,,Not Available,Not Available
152704,DIALYSIS CARE CENTER MERRILLVILLE LLC,Profit,INDEPENDENT,12,Not Available,1,5,12,9,9,Not Available,Not Available,Not Available,2,5,2,Not Available,Not Available,8,8,18,0,,Not Available,Not Available
152511,DAVITA LAWRENCEBURG DIALYSIS CENTER,Profit,DAVITA,17,As Expected,31,52,432,54,452,As Expected,As Expected,As Expected,47,60,197,As Expected,As Expected,42,42,340,0,,Not Available,As Expected
152623,FMC - LIBERTY DIALYSIS - HAMMOND,Profit,FRESENIUS MEDICAL CARE,16,As Expected,63,86,774,92,799,Worse than Expected,As Expected,Better than Expected,75,147,289,As Expected,As Expected,83,83,704,0,,As Expected,As Expected
152624,FMC - TREE CITY DIALYSIS,Profit,FRESENIUS MEDICAL CARE,12,As Expected,27,36,354,39,367,As Expected,As Expected,As Expected,30,55,99,As Expected,As Expected,32,32,283,0,,Not Available,As Expected
152625,DAVITA KENDALLVILLE RENAL CENTER,Profit,DAVITA,20,As Expected,52,73,671,75,702,As Expected,As Expected,As Expected,58,78,205,As Expected,As Expected,74,74,704,0,,Not Available,As Expected
152626,FMC - ELWOOD,Profit,FRESENIUS MEDICAL CARE,12,Not Available,14,41,379,42,398,As Expected,As Expected,As Expected,29,29,133,As Expected,As Expected,36,36,308,0,,Not Available,As Expected
142712,DAVITA BIG OAKS DIALYSIS,Profit,DAVITA,12,As Expected,38,55,461,60,483,As Expected,As Expected,As Expected,43,33,169,As Expected,As Expected,60,60,484,0,,As Expected,As Expected
142713,FMC - MIDWAY DIALYSIS,Profit,FRESENIUS MEDICAL CARE,12,As Expected,44,57,536,62,530,As Expected,As Expected,As Expected,49,69,231,As Expected,As Expected,61,61,547,0,,Not Available,As Expected
142714,DAVITA ROBINSON DIALYSIS,Profit,DAVITA,9,As Expected,29,40,327,41,346,As Expected,As Expected,As Expected,41,34,155,As Expected,As Expected,41,41,350,0,,Not Available,As Expected
112864,DSI KENNESAW LLC,Profit,"US RENAL CARE, INC.",3,Not Available,11,16,136,16,143,As Expected,As Expected,As Expected,13,12,68,Not Available,As Expected,15,15,134,0,,Not Available,As Expected
112865,RENAL CAREPARTNERS OF GRIFFIN LLC,Profit,"US RENAL CARE, INC.",17,As Expected,69,87,842,90,857,As Expected,As Expected,As Expected,73,75,265,As Expected,Better than Expected,75,75,688,0,,As Expected,As Expected
112866,DAVITA TURNER HILL DIALYSIS,Profit,DAVITA,20,As Expected,87,128,829,123,768,As Expected,As Expected,As Expected,97,71,339,As Expected,As Expected,93,93,712,0,,As Expected,As Expected
142627,FMC - WILLIAMSON COUNTY,Profit,FRESENIUS MEDICAL CARE,11,As Expected,76,89,612,96,673,As Expected,As Expected,As Expected,89,138,270,Better than Expected,As Expected,96,96,666,0,,Not Available,As Expected
142628,DAVITA ARLINGTON HEIGHTS RENAL CENTER,Profit,DAVITA,20,As Expected,36,59,531,60,504,As Expected,As Expected,As Expected,42,43,220,As Expected,As Expected,60,60,542,0,,Not Available,As Expected
142630,FMC - ALSIP DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,16,As Expected,69,85,832,84,843,As Expected,As Expected,Better than Expected,78,61,322,Better than Expected,As Expected,85,85,852,0,,As Expected,As Expected
142631,FMC - DIALYSIS SERVICES OF CONGRESS PARKWAY,Profit,FRESENIUS MEDICAL CARE,30,As Expected,70,110,1078,112,1099,As Expected,As Expected,Better than Expected,80,98,383,As Expected,As Expected,113,113,1103,0,,As Expected,As Expected
